gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;p_passage_en_l2_1_an;redoublement_en_l1;p_redoublement_en_l1;passage_en_l2_2_ans;p_passage_en_l2_2_ans;passage_en_l2_1_2_ans;p_passage_en_l2_1_2_ans;reorientation_en_dut_1_an;p_reorientation_en_dut_1_an;reorientation_en_dut_2_ans;p_reorientation_en_dut_2_ans;reorientation_en_dut;p_reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;p_reussite_3_ans;reussite_4_ans;p_reussite_4_ans;reussite_3_4_ans;p_reussite_3_4_ans
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;Homme;A;Très bien;2014;2038.0;1673.0;82.09;131.0;6.42;106.0;5.2;1779.0;87.29;14.0;0.68;8.0;0.39;22.0;1.07;2012;1190.0;741.0;62.26;79.0;6.63;820.0;68.9
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;Ensemble;Ensemble;Q;Inconnue;2014;1977.0;933.0;47.19;459.0;23.21;244.0;12.34;1177.0;59.53;13.0;0.65;5.0;0.25;18.0;0.91;2012;2141.0;616.0;28.77;265.0;12.37;881.0;41.14
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;2;Femme;Ensemble;Ensemble;2014;4268.0;942.0;22.07;1620.0;37.95;431.0;10.09;1373.0;32.16;43.0;1.0;11.0;0.25;54.0;1.26;2012;5363.0;713.0;13.29;431.0;8.03;1144.0;21.33
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;2;Femme;A;Très bien;2014;18.0;9.0;;3.0;;4.0;;13.0;;0.0;;0.0;;0.0;;2012;14.0;9.0;;1.0;;10.0;
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;4;BAC STMG;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2014;13959.0;1570.0;11.24;5079.0;36.38;1162.0;8.32;2732.0;19.57;288.0;2.06;68.0;0.48;356.0;2.55;2012;13715.0;941.0;6.86;989.0;7.21;1930.0;14.07
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;Ensemble;Ensemble;Ensemble;Ensemble;C;Assez bien;2014;2910.0;628.0;21.58;833.0;28.62;317.0;10.89;945.0;32.47;65.0;2.23;20.0;0.68;85.0;2.92;2012;1575.0;263.0;16.69;162.0;10.28;425.0;26.98
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;Ensemble;Ensemble;2;Femme;P;Passable deuxième groupe;2014;2648.0;782.0;29.53;1046.0;39.5;496.0;18.73;1278.0;48.26;45.0;1.69;27.0;1.01;72.0;2.71;2012;2238.0;431.0;19.25;364.0;16.26;795.0;35.52
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;Ensemble;Ensemble;1;Homme;P;Passable deuxième groupe;2014;720.0;21.0;2.91;298.0;41.38;39.0;5.41;60.0;8.33;9.0;1.25;1.0;0.13;10.0;1.38;2012;731.0;11.0;1.5;32.0;4.37;43.0;5.88
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;6;BAC professionnel;Ensemble;Ensemble;2;Femme;Q;Inconnue;2014;1108.0;96.0;8.66;288.0;25.99;44.0;3.9699999999999998;140.0;12.63;3.0;0.27;1.0;0.09;4.0;0.36;2012;810.0;39.0;4.8100000000000005;26.0;3.2;65.0;8.02
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;BAC L;R0;A l'heure ou en avance;Ensemble;Ensemble;P;Passable deuxième groupe;2014;2064.0;368.0;17.82;946.0;45.83;311.0;15.06;679.0;32.89;6.0;0.29;6.0;0.29;12.0;0.58;2012;2134.0;269.0;12.6;288.0;13.49;557.0;26.1
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;BAC L;R1;En retard d'un an;Ensemble;Ensemble;B;Bien;2014;368.0;247.0;67.11;61.0;16.57;41.0;11.14;288.0;78.26;3.0;0.81;0.0;0.0;3.0;0.81;2012;212.0;103.0;48.58;32.0;15.09;135.0;63.67
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;BAC ES;R0;A l'heure ou en avance;Ensemble;Ensemble;C;Assez bien;2014;10911.0;6748.0;61.84;2250.0;20.62;1555.0;14.25;8303.0;76.09;333.0;3.05;61.0;0.55;394.0;3.61;2012;10710.0;5269.0;49.19;1983.0;18.51;7252.0;67.71
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;R2;En retard de plus d'un an;Ensemble;Ensemble;Q;Inconnue;2014;74.0;22.0;29.72;23.0;31.08;8.0;10.81;30.0;40.54;3.0;4.05;1.0;1.35;4.0;5.4;2012;105.0;16.0;15.23;8.0;7.61;24.0;22.85
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;4;BAC STMG;R0;A l'heure ou en avance;Ensemble;Ensemble;Q;Inconnue;2014;65.0;11.0;16.92;21.0;32.3;6.0;9.23;17.0;26.15;0.0;0.0;0.0;0.0;0.0;0.0;2012;149.0;16.0;10.73;6.0;4.02;22.0;14.76
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;4;BAC STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;B;Bien;2014;55.0;17.0;30.9;21.0;38.18;10.0;18.18;27.0;49.09;1.0;1.81;0.0;0.0;1.0;1.81;2012;37.0;10.0;27.02;3.0;8.1;13.0;35.13
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;BAC L;R0;A l'heure ou en avance;1;Homme;C;Assez bien;2014;1363.0;706.0;51.79;403.0;29.56;213.0;15.62;919.0;67.42;11.0;0.8;8.0;0.58;19.0;1.3900000000000001;2012;1099.0;399.0;36.3;181.0;16.46;580.0;52.77
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;BAC ES;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;1779.0;635.0;35.69;628.0;35.3;318.0;17.87;953.0;53.56;35.0;1.96;13.0;0.73;48.0;2.69;2012;2289.0;550.0;24.02;328.0;14.32;878.0;38.35
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;R1;En retard d'un an;1;Homme;C;Assez bien;2014;601.0;324.0;53.91;148.0;24.62;91.0;15.14;415.0;69.05;17.0;2.8200000000000003;4.0;0.66;21.0;3.49;2012;814.0;263.0;32.3;125.0;15.35;388.0;47.66
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;R1;En retard d'un an;2;Femme;Q;Inconnue;2014;109.0;50.0;45.87;28.0;25.68;18.0;16.51;68.0;62.38;0.0;0.0;0.0;0.0;0.0;0.0;2012;103.0;21.0;20.38;21.0;20.38;42.0;40.77
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;4;BAC STMG;R1;En retard d'un an;2;Femme;A;Très bien;2014;11.0;6.0;;3.0;;2.0;;8.0;;1.0;;0.0;;1.0;;2012;6.0;2.0;;1.0;;3.0;
Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;A;Très bien;2014;1.0;1.0;;0.0;;0.0;;1.0;;0.0;;0.0;;0.0;;2012;3.0;2.0;;0.0;;2.0;
SANTE;Santé;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2014;21.0;18.0;;2.0;;1.0;;19.0;;0.0;;0.0;;0.0;;2012;33.0;20.0;60.6;5.0;15.15;25.0;75.75
LLSH;Lettres, langues et sciences humaines;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;Homme;P;Passable deuxième groupe;2014;2922.0;473.0;16.18;1180.0;40.38;296.0;10.13;769.0;26.31;23.0;0.78;17.0;0.58;40.0;1.3599999999999999;2012;3253.0;262.0;8.05;240.0;7.37;502.0;15.43
SANTE;Santé;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;Femme;B;Bien;2014;4.0;4.0;;0.0;;0.0;;4.0;;0.0;;0.0;;0.0;;2012;9.0;6.0;;0.0;;6.0;
SANTE;Santé;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;Ensemble;Ensemble;A;Très bien;2014;6.0;6.0;;0.0;;0.0;;6.0;;0.0;;0.0;;0.0;;2012;5.0;3.0;;2.0;;5.0;
SI;Sciences et sciences de l'ingénieur;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;Ensemble;Ensemble;D;Passable premier groupe;2014;6217.0;2131.0;34.27;2220.0;35.7;1172.0;18.85;3303.0;53.12;252.0;4.05;59.0;0.9400000000000001;311.0;5.0;2012;4871.0;984.0;20.2;963.0;19.77;1947.0;39.97
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;Ensemble;Ensemble;A;Très bien;2014;154.0;103.0;66.88;17.0;11.03;6.0;3.89;109.0;70.77;2.0;1.29;1.0;0.64;3.0;1.94;2012;56.0;32.0;57.14;4.0;7.14;36.0;64.28
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;Ensemble;Ensemble;C;Assez bien;2014;68.0;21.0;30.88;22.0;32.35;7.0;10.29;28.0;41.17;2.0;2.94;0.0;0.0;2.0;2.94;2012;73.0;15.0;20.54;13.0;17.8;28.0;38.35
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;Ensemble;Ensemble;Q;Inconnue;2014;35.0;10.0;28.57;11.0;31.42;3.0;8.57;13.0;37.14;1.0;2.85;1.0;2.85;2.0;5.71;2012;38.0;2.0;5.26;4.0;10.52;6.0;15.78
SANTE;Santé;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;1;Homme;Ensemble;Ensemble;2014;10.0;7.0;;2.0;;1.0;;8.0;;0.0;;0.0;;0.0;;2012;11.0;7.0;;2.0;;9.0;
SI;Sciences et sciences de l'ingénieur;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;2;Femme;Ensemble;Ensemble;2014;9014.0;4735.0;52.52;2011.0;22.3;1167.0;12.94;5902.0;65.47;204.0;2.26;71.0;0.78;275.0;3.05;2012;6827.0;2431.0;35.6;1054.0;15.43;3485.0;51.04
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R1;En retard d'un an;2;Femme;Q;Inconnue;2014;135.0;38.0;28.14;46.0;34.07;26.0;19.25;64.0;47.4;0.0;0.0;1.0;0.74;1.0;0.74;2012;211.0;35.0;16.58;23.0;10.9;58.0;27.48
LLSH;Lettres, langues et sciences humaines;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;1351.0;962.0;71.2;183.0;13.54;114.0;8.43;1076.0;79.64;25.0;1.85;5.0;0.37;30.0;2.22;2012;1026.0;573.0;55.84;109.0;10.62;682.0;66.47
LLSH;Lettres, langues et sciences humaines;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R1;En retard d'un an;2;Femme;D;Passable premier groupe;2014;3884.0;1239.0;31.9;1173.0;30.2;482.0;12.4;1721.0;44.3;34.0;0.87;14.0;0.36;48.0;1.23;2012;4364.0;999.0;22.89;502.0;11.5;1501.0;34.39
SANTE;Santé;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R1;En retard d'un an;2;Femme;B;Bien;2014;;;;;;;;;;;;;;;;2012;1.0;0.0;;0.0;;0.0;
SI;Sciences et sciences de l'ingénieur;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;1;Homme;A;Très bien;2014;;;;;;;;;;;;;;;;2012;1.0;0.0;;0.0;;0.0;
SI;Sciences et sciences de l'ingénieur;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;28.0;15.0;;5.0;;1.0;;16.0;;2.0;;0.0;;2.0;;2012;16.0;5.0;;2.0;;7.0;
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;10.0;6.0;;2.0;;2.0;;8.0;;0.0;;0.0;;0.0;;2012;4.0;1.0;;0.0;;1.0;
SI;Sciences et sciences de l'ingénieur;Ensemble;Ensemble;Ensemble;Ensemble;2;BAC ES;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2014;1111.0;270.0;24.3;433.0;38.97;199.0;17.91;469.0;42.21;50.0;4.5;6.0;0.54;56.0;5.04;2012;897.0;161.0;17.94;157.0;17.5;318.0;35.45
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;Ensemble;Ensemble;Ensemble;Ensemble;P;Passable deuxième groupe;2014;217.0;5.0;2.3;79.0;36.4;10.0;4.6;15.0;6.91;0.0;0.0;0.0;0.0;0.0;0.0;2012;238.0;4.0;1.6800000000000002;12.0;5.04;16.0;6.72
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;1;BAC L;R1;En retard d'un an;1;Homme;P;Passable deuxième groupe;2014;75.0;2.0;2.66;44.0;58.66;8.0;10.66;10.0;13.33;0.0;0.0;0.0;0.0;0.0;0.0;2012;92.0;0.0;0.0;5.0;5.43;5.0;5.43
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;1;BAC L;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;16.0;3.0;;10.0;;4.0;;7.0;;0.0;;0.0;;0.0;;2012;22.0;2.0;;2.0;;4.0;
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;2;BAC ES;R0;A l'heure ou en avance;1;Homme;B;Bien;2014;1206.0;940.0;77.94;142.0;11.77;114.0;9.45;1054.0;87.39;20.0;1.65;6.0;0.49;26.0;2.15;2012;1000.0;578.0;57.8;132.0;13.2;710.0;71.0
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;2;BAC ES;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;10.0;9.0;;0.0;;0.0;;9.0;;1.0;;0.0;;1.0;;2012;10.0;6.0;;2.0;;8.0;
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;84.0;14.0;16.66;23.0;27.38;10.0;11.9;24.0;28.57;0.0;0.0;0.0;0.0;0.0;0.0;2012;50.0;10.0;20.0;4.0;8.0;14.0;28.0
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;P;Passable deuxième groupe;2014;42.0;1.0;2.38;13.0;30.95;2.0;4.76;3.0;7.14;0.0;0.0;0.0;0.0;0.0;0.0;2012;44.0;0.0;0.0;1.0;2.27;1.0;2.27
DSA;Droit, gestion, économie, AES;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;C;Assez bien;2014;14.0;2.0;;3.0;;1.0;;3.0;;0.0;;0.0;;0.0;;2012;14.0;0.0;;1.0;;1.0;
LLSH;Lettres, langues et sciences humaines;Ensemble;Ensemble;Ensemble;Ensemble;1;BAC L;R1;En retard d'un an;2;Femme;B;Bien;2014;202.0;136.0;67.32;30.0;14.85;24.0;11.88;160.0;79.2;3.0;1.48;0.0;0.0;3.0;1.48;2012;116.0;60.0;51.72;21.0;18.1;81.0;69.82
LLSH;Lettres, langues et sciences humaines;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;1485.0;1087.0;73.19;147.0;9.89;110.0;7.4;1197.0;80.6;25.0;1.6800000000000002;5.0;0.33;30.0;2.02;2012;1198.0;701.0;58.51;145.0;12.1;846.0;70.61
LLSH;Lettres, langues et sciences humaines;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;R2;En retard de plus d'un an;1;Homme;Q;Inconnue;2014;8.0;3.0;;1.0;;0.0;;3.0;;0.0;;0.0;;0.0;;2012;7.0;2.0;;0.0;;2.0;
LLSH;Lettres, langues et sciences humaines;Ensemble;Ensemble;Ensemble;Ensemble;4;BAC STMG;R2;En retard de plus d'un an;2;Femme;B;Bien;2014;12.0;6.0;;2.0;;0.0;;6.0;;0.0;;0.0;;0.0;;2012;9.0;2.0;;1.0;;3.0;
LLSH;Lettres, langues et sciences humaines;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;26.0;13.0;;2.0;;2.0;;15.0;;1.0;;0.0;;1.0;;2012;9.0;5.0;;1.0;;6.0;
SANTE;Santé;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;1;Homme;B;Bien;2014;;;;;;;;;;;;;;;;2012;1.0;0.0;;0.0;;0.0;
SI;Sciences et sciences de l'ingénieur;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;R0;A l'heure ou en avance;2;Femme;D;Passable premier groupe;2014;359.0;14.0;3.89;131.0;36.49;25.0;6.96;39.0;10.86;4.0;1.11;1.0;0.27;5.0;1.3900000000000001;2012;265.0;4.0;1.5;19.0;7.16;23.0;8.67
SI;Sciences et sciences de l'ingénieur;Ensemble;Ensemble;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;2;Femme;A;Très bien;2014;2.0;0.0;;0.0;;1.0;;1.0;;0.0;;0.0;;0.0;;2012;;;;;;;
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;1;BAC L;R0;A l'heure ou en avance;2;Femme;A;Très bien;2014;2.0;2.0;;0.0;;0.0;;2.0;;0.0;;0.0;;0.0;;2012;1.0;1.0;;0.0;;1.0;
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;2;BAC ES;R1;En retard d'un an;1;Homme;D;Passable premier groupe;2014;289.0;80.0;27.68;112.0;38.75;45.0;15.57;125.0;43.25;2.0;0.6900000000000001;0.0;0.0;2.0;0.6900000000000001;2012;309.0;55.0;17.79;46.0;14.88;101.0;32.68
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;R0;A l'heure ou en avance;2;Femme;B;Bien;2014;151.0;109.0;72.18;12.0;7.94;6.0;3.9699999999999998;115.0;76.15;0.0;0.0;0.0;0.0;0.0;0.0;2012;134.0;84.0;62.68;6.0;4.47;90.0;67.16
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;3;BAC S;R1;En retard d'un an;2;Femme;C;Assez bien;2014;19.0;14.0;;2.0;;1.0;;15.0;;0.0;;0.0;;0.0;;2012;22.0;16.0;;1.0;;17.0;
STAPS;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;4;BAC STMG;R0;A l'heure ou en avance;2;Femme;C;Assez bien;2014;49.0;14.0;28.57;19.0;38.77;6.0;12.24;20.0;40.81;0.0;0.0;0.0;0.0;0.0;0.0;2012;32.0;9.0;28.12;3.0;9.37;12.0;37.5
SANTE;Santé;11;Médecine;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2014;21.0;18.0;;2.0;;1.0;;19.0;;0.0;;0.0;;0.0;;2012;33.0;20.0;60.6;5.0;15.15;25.0;75.75
SI;Sciences et sciences de l'ingénieur;9;Sciences de la vie, de la terre et de l'univers;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;P;Passable deuxième groupe;2014;1236.0;150.0;12.13;581.0;47.0;224.0;18.12;374.0;30.25;30.0;2.42;16.0;1.29;46.0;3.7199999999999998;2012;1118.0;82.0;7.33;135.0;12.07;217.0;19.4
STAPS;STAPS;10;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;D;Passable premier groupe;2014;6521.0;2332.0;35.76;2259.0;34.64;890.0;13.64;3222.0;49.4;67.0;1.02;27.0;0.41000000000000003;94.0;1.44;2012;5823.0;1414.0;24.28;802.0;13.77;2216.0;38.05
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;Femme;Ensemble;Ensemble;2014;20926.0;9003.0;43.02;7295.0;34.86;3423.0;16.35;12426.0;59.38;307.0;1.46;117.0;0.55;424.0;2.02;2012;20891.0;6697.0;32.05;3419.0;16.36;10116.0;48.42
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;Homme;C;Assez bien;2014;2849.0;1268.0;44.5;982.0;34.46;529.0;18.56;1797.0;63.07;61.0;2.14;20.0;0.7000000000000001;81.0;2.84;2012;2985.0;946.0;31.69;604.0;20.23;1550.0;51.92
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;Femme;D;Passable premier groupe;2014;2026.0;555.0;27.39;668.0;32.97;279.0;13.77;834.0;41.16;54.0;2.66;9.0;0.44;63.0;3.1;2012;2219.0;460.0;20.73;297.0;13.38;757.0;34.11
DSA;Droit, gestion, économie, AES;3;Administration économique et sociale;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;Homme;P;Passable deuxième groupe;2014;777.0;89.0;11.45;288.0;37.06;53.0;6.82;142.0;18.27;11.0;1.4100000000000001;3.0;0.38;14.0;1.8;2012;837.0;60.0;7.16;64.0;7.64;124.0;14.81
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;Homme;Q;Inconnue;2014;300.0;79.0;26.33;91.0;30.33;23.0;7.66;102.0;34.0;1.0;0.33;1.0;0.33;2.0;0.66;2012;311.0;46.0;14.79;21.0;6.75;67.0;21.54
SI;Sciences et sciences de l'ingénieur;9;Sciences de la vie, de la terre et de l'univers;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;Femme;B;Bien;2014;776.0;539.0;69.45;76.0;9.79;48.0;6.18;587.0;75.64;18.0;2.31;5.0;0.64;23.0;2.96;2012;541.0;275.0;50.83;49.0;9.05;324.0;59.88
SI;Sciences et sciences de l'ingénieur;9;Sciences de la vie, de la terre et de l'univers;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;Femme;C;Assez bien;2014;1578.0;741.0;46.95;342.0;21.67;198.0;12.54;939.0;59.5;37.0;2.34;12.0;0.76;49.0;3.1;2012;1264.0;478.0;37.81;186.0;14.71;664.0;52.53
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;Homme;A;Très bien;2014;173.0;140.0;80.92;10.0;5.78;9.0;5.2;149.0;86.12;0.0;0.0;0.0;0.0;0.0;0.0;2012;110.0;64.0;58.18;6.0;5.45;70.0;63.63
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;1;Homme;C;Assez bien;2014;931.0;485.0;52.09;218.0;23.41;111.0;11.92;596.0;64.01;35.0;3.75;11.0;1.18;46.0;4.94;2012;893.0;263.0;29.45;152.0;17.02;415.0;46.47
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;Femme;B;Bien;2014;440.0;299.0;67.95;43.0;9.77;26.0;5.9;325.0;73.86;6.0;1.3599999999999999;3.0;0.68;9.0;2.04;2012;367.0;207.0;56.4;38.0;10.35;245.0;66.75
STAPS;STAPS;10;STAPS;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;Ensemble;2;Femme;Q;Inconnue;2014;128.0;49.0;38.28;32.0;25.0;12.0;9.37;61.0;47.65;1.0;0.78;0.0;0.0;1.0;0.78;2012;103.0;24.0;23.3;13.0;12.62;37.0;35.92
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;Ensemble;Ensemble;Ensemble;Ensemble;2014;22696.0;11202.0;49.35;7333.0;32.3;3923.0;17.28;15125.0;66.64;396.0;1.74;153.0;0.67;549.0;2.41;2012;21904.0;8201.0;37.44;3982.0;18.17;12183.0;55.61
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;Ensemble;Ensemble;R2;En retard de plus d'un an;Ensemble;Ensemble;Ensemble;Ensemble;2014;1301.0;168.0;12.91;678.0;52.11;163.0;12.52;331.0;25.44;11.0;0.84;2.0;0.15;13.0;0.99;2012;1713.0;120.0;7.0;132.0;7.7;252.0;14.71
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;Ensemble;Ensemble;Ensemble;Ensemble;R1;En retard d'un an;Ensemble;Ensemble;Ensemble;Ensemble;2014;1110.0;272.0;24.5;424.0;38.19;162.0;14.59;434.0;39.09;30.0;2.7;13.0;1.17;43.0;3.87;2012;1203.0;157.0;13.05;149.0;12.38;306.0;25.43
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;Ensemble;Ensemble;R0;A l'heure ou en avance;Ensemble;Ensemble;Q;Inconnue;2014;379.0;154.0;40.63;127.0;33.5;69.0;18.2;223.0;58.83;2.0;0.52;0.0;0.0;2.0;0.52;2012;456.0;137.0;30.04;76.0;16.66;213.0;46.71
SI;Sciences et sciences de l'ingénieur;9;Sciences de la vie, de la terre et de l'univers;Ensemble;Ensemble;6;BAC professionnel;Ensemble;Ensemble;Ensemble;Ensemble;D;Passable premier groupe;2014;90.0;0.0;0.0;28.0;31.11;1.0;1.11;1.0;1.11;0.0;0.0;0.0;0.0;0.0;0.0;2012;75.0;1.0;1.33;0.0;0.0;1.0;1.33
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;Ensemble;Ensemble;1;BAC L;Ensemble;Ensemble;Ensemble;Ensemble;C;Assez bien;2014;8.0;2.0;;2.0;;1.0;;3.0;;0.0;;0.0;;0.0;;2012;4.0;0.0;;1.0;;1.0;
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;Ensemble;Ensemble;4;BAC STMG;Ensemble;Ensemble;Ensemble;Ensemble;B;Bien;2014;4.0;0.0;;1.0;;1.0;;1.0;;0.0;;0.0;;0.0;;2012;;;;;;;
