gd_discipline;gd_discipline_lib;discipline;discipline_lib;sect_disciplinaire;sect_disciplinaire_lib;serie_bac;serie_bac_lib;age_au_bac;age_au_bac_lib;sexe;sexe_lib;mention_bac;mention_bac_lib;cohorte_passage;effectif_neobacheliers_passage;passage_en_l2_1_an;p_passage_en_l2_1_an;redoublement_en_l1;p_redoublement_en_l1;passage_en_l2_2_ans;p_passage_en_l2_2_ans;passage_en_l2_1_2_ans;p_passage_en_l2_1_2_ans;reorientation_en_dut_1_an;p_reorientation_en_dut_1_an;reorientation_en_dut_2_ans;p_reorientation_en_dut_2_ans;reorientation_en_dut;p_reorientation_en_dut;cohorte_reussite;effectif_neobacheliers_reussite;reussite_3_ans;p_reussite_3_ans;reussite_4_ans;p_reussite_4_ans;reussite_3_4_ans;p_reussite_3_4_ans
SI;Sciences et sciences de l'ingénieur;9;Sciences de la vie, de la terre et de l'univers;Ensemble;Ensemble;3;BAC S;R1;En retard d'un an;Ensemble;Ensemble;Ensemble;Ensemble;2014;1000.0;296.0;29.6;384.0;38.4;175.0;17.5;471.0;47.1;19.0;1.9;5.0;0.5;24.0;2.4;2012;1023.0;178.0;17.39;171.0;16.71;349.0;34.11
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;28;Géographie;3;BAC S;Ensemble;Ensemble;1;Homme;Q;Inconnue;2014;;;;;;;;;;;;;;;;2012;4.0;1.0;;0.0;;1.0;
SI;Sciences et sciences de l'ingénieur;9;Sciences de la vie, de la terre et de l'univers;Ensemble;Ensemble;3;BAC S;R2;En retard de plus d'un an;Ensemble;Ensemble;Ensemble;Ensemble;2014;195.0;41.0;21.02;84.0;43.07;21.0;10.76;62.0;31.79;2.0;1.02;3.0;1.53;5.0;2.56;2012;307.0;27.0;8.79;33.0;10.74;60.0;19.54
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;28;Géographie;3;BAC S;Ensemble;Ensemble;2;Femme;Q;Inconnue;2014;;;;;;;;;;;;;;;;2012;2.0;1.0;;0.0;;1.0;
SI;Sciences et sciences de l'ingénieur;33;Pluridisciplinaire sciences;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;Ensemble;Ensemble;2014;147.0;16.0;10.88;50.0;34.01;11.0;7.48;27.0;18.36;2.0;1.3599999999999999;1.0;0.68;3.0;2.04;2012;154.0;2.0;1.29;7.0;4.54;9.0;5.84
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;30;Archéologie, ethnologie, préhistoire;1;BAC L;Ensemble;Ensemble;2;Femme;C;Assez bien;2014;36.0;18.0;50.0;10.0;27.77;7.0;19.44;25.0;69.44;1.0;2.77;0.0;0.0;1.0;2.77;2012;23.0;14.0;;4.0;;18.0;
STAPS;STAPS;10;STAPS;Ensemble;Ensemble;3;BAC S;R1;En retard d'un an;Ensemble;Ensemble;Ensemble;Ensemble;2014;955.0;402.0;42.09;340.0;35.6;158.0;16.54;560.0;58.63;11.0;1.15;3.0;0.31;14.0;1.46;2012;938.0;308.0;32.83;146.0;15.56;454.0;48.4
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;30;Archéologie, ethnologie, préhistoire;6;BAC professionnel;Ensemble;Ensemble;2;Femme;C;Assez bien;2014;4.0;2.0;;1.0;;1.0;;3.0;;0.0;;0.0;;0.0;;2012;1.0;0.0;;0.0;;0.0;
STAPS;STAPS;10;STAPS;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;Ensemble;Ensemble;2014;142.0;23.0;16.19;66.0;46.47;14.0;9.85;37.0;26.05;1.0;0.7000000000000001;0.0;0.0;1.0;0.7000000000000001;2012;173.0;8.0;4.62;19.0;10.98;27.0;15.6
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;31;Sciences religieuses;2;BAC ES;Ensemble;Ensemble;1;Homme;C;Assez bien;2014;;;;;;;;;;;;;;;;2012;1.0;1.0;;0.0;;1.0;
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;2;BAC ES;R0;A l'heure ou en avance;Ensemble;Ensemble;B;Bien;2014;2511.0;2072.0;82.51;248.0;9.87;200.0;7.96;2272.0;90.48;39.0;1.55;8.0;0.31;47.0;1.87;2012;2316.0;1574.0;67.96;316.0;13.64;1890.0;81.6
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;31;Sciences religieuses;6;BAC professionnel;Ensemble;Ensemble;1;Homme;P;Passable deuxième groupe;2014;;;;;;;;;;;;;;;;2012;1.0;0.0;;0.0;;0.0;
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;4;BAC STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;B;Bien;2014;18.0;4.0;;9.0;;6.0;;10.0;;0.0;;0.0;;0.0;;2012;13.0;4.0;;1.0;;5.0;
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;32;Psychologie;1;BAC L;Ensemble;Ensemble;2;Femme;P;Passable deuxième groupe;2014;327.0;84.0;25.68;135.0;41.28;47.0;14.37;131.0;40.06;4.0;1.22;1.0;0.30000000000000004;5.0;1.52;2012;416.0;67.0;16.1;50.0;12.01;117.0;28.12
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;5;BAC technologique hors STMG;R2;En retard de plus d'un an;Ensemble;Ensemble;A;Très bien;2014;;;;;;;;;;;;;;;;2012;1.0;1.0;;0.0;;1.0;
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;2;BAC ES;R1;En retard d'un an;Ensemble;Ensemble;A;Très bien;2014;31.0;27.0;87.09;1.0;3.22;1.0;3.22;28.0;90.32;0.0;0.0;0.0;0.0;0.0;0.0;2012;24.0;15.0;;5.0;;20.0;
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;2;BAC ES;R0;A l'heure ou en avance;Ensemble;Ensemble;D;Passable premier groupe;2014;1853.0;538.0;29.03;702.0;37.88;393.0;21.2;931.0;50.24;75.0;4.04;16.0;0.86;91.0;4.91;2012;1693.0;390.0;23.03;353.0;20.85;743.0;43.88
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;33;Sociologie, démographie;1;BAC L;Ensemble;Ensemble;2;Femme;Q;Inconnue;2014;7.0;3.0;;1.0;;1.0;;4.0;;0.0;;0.0;;0.0;;2012;5.0;0.0;;1.0;;1.0;
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;2;BAC ES;R1;En retard d'un an;Ensemble;Ensemble;Q;Inconnue;2014;61.0;27.0;44.26;20.0;32.78;8.0;13.11;35.0;57.37;0.0;0.0;0.0;0.0;0.0;0.0;2012;91.0;15.0;16.48;10.0;10.98;25.0;27.47
DSA;Droit, gestion, économie, AES;1;Droit, sciences politiques;Ensemble;Ensemble;5;BAC technologique hors STMG;R0;A l'heure ou en avance;Ensemble;Ensemble;P;Passable deuxième groupe;2014;37.0;0.0;0.0;14.0;37.83;1.0;2.7;1.0;2.7;0.0;0.0;0.0;0.0;0.0;0.0;2012;38.0;0.0;0.0;1.0;2.63;1.0;2.63
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;2;BAC ES;R2;En retard de plus d'un an;Ensemble;Ensemble;C;Assez bien;2014;33.0;14.0;42.42;11.0;33.33;5.0;15.15;19.0;57.57;1.0;3.03;0.0;0.0;1.0;3.03;2012;51.0;17.0;33.33;7.0;13.72;24.0;47.05
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;33;Sociologie, démographie;3;BAC S;Ensemble;Ensemble;2;Femme;P;Passable deuxième groupe;2014;44.0;19.0;43.18;10.0;22.72;2.0;4.54;21.0;47.72;0.0;0.0;0.0;0.0;0.0;0.0;2012;23.0;9.0;;1.0;;10.0;
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;3;BAC S;R1;En retard d'un an;Ensemble;Ensemble;B;Bien;2014;18.0;15.0;;1.0;;1.0;;16.0;;0.0;;0.0;;0.0;;2012;14.0;12.0;;0.0;;12.0;
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;33;Sociologie, démographie;4;BAC STMG;Ensemble;Ensemble;2;Femme;Q;Inconnue;2014;8.0;2.0;;1.0;;1.0;;3.0;;0.0;;0.0;;0.0;;2012;5.0;0.0;;0.0;;0.0;
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;3;BAC S;R2;En retard de plus d'un an;Ensemble;Ensemble;B;Bien;2014;1.0;1.0;;0.0;;0.0;;1.0;;0.0;;0.0;;0.0;;2012;1.0;0.0;;0.0;;0.0;
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;3;BAC S;R0;A l'heure ou en avance;Ensemble;Ensemble;D;Passable premier groupe;2014;757.0;440.0;58.12;175.0;23.11;111.0;14.66;551.0;72.78;24.0;3.17;2.0;0.26;26.0;3.43;2012;704.0;264.0;37.5;123.0;17.47;387.0;54.97
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;3;BAC S;R2;En retard de plus d'un an;Ensemble;Ensemble;P;Passable deuxième groupe;2014;50.0;9.0;18.0;23.0;46.0;8.0;16.0;17.0;34.0;0.0;0.0;1.0;2.0;1.0;2.0;2012;79.0;9.0;11.39;9.0;11.39;18.0;22.78
LLSH;Lettres, langues et sciences humaines;6;Sciences humaines et sociales;32;Psychologie;Ensemble;Ensemble;R1;En retard d'un an;1;Homme;A;Très bien;2014;2.0;1.0;;0.0;;0.0;;1.0;;0.0;;0.0;;0.0;;2012;;;;;;;
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;4;BAC STMG;R1;En retard d'un an;Ensemble;Ensemble;C;Assez bien;2014;128.0;18.0;14.06;35.0;27.34;11.0;8.59;29.0;22.65;5.0;3.9;0.0;0.0;5.0;3.9;2012;97.0;13.0;13.4;8.0;8.24;21.0;21.64
DSA;Droit, gestion, économie, AES;2;Sciences économiques, gestion;Ensemble;Ensemble;5;BAC technologique hors STMG;R1;En retard d'un an;Ensemble;Ensemble;D;Passable premier groupe;2014;32.0;1.0;3.12;10.0;31.25;2.0;6.25;3.0;9.37;1.0;3.12;0.0;0.0;1.0;3.12;2012;45.0;4.0;8.88;4.0;8.88;8.0;17.77
