reference_fiche;ndeg_de_version;nature_juridique_du_rappel;categorie_de_produit;sous_categorie_de_produit;nom_de_la_marque_du_produit;noms_des_modeles_ou_references;identification_des_produits;conditionnements;date_debut_fin_de_commercialisation;temperature_de_conservation;marque_de_salubrite;informations_complementaires;zone_geographique_de_vente;distributeurs;motif_du_rappel;risques_encourus_par_le_consommateur;preconisations_sanitaires;description_complementaire_du_risque;conduites_a_tenir_par_le_consommateur;numero_de_contact;modalites_de_compensation;date_de_fin_de_la_procedure_de_rappel;informations_complementaires_publiques;lien_vers_la_liste_des_images;lien_vers_la_liste_des_produits;lien_vers_l_affichette_pdf;date_ref
2021-12-0003;1;Volontaire;Alimentation;Produits de la pêche et d'aquaculture;SANS MARQUE;Hareng façon kipper P/ANE X3KG;3000002123179 474475 Date limite de consommation 12/12/2021 3000002123179 474481 Date limite de consommation 15/12/2021;A la coupe, étal poissonnerie;Du 27/11/2021 au 01/12/2021;Produit à conserver au réfrigérateur;;;France entière;E. LECLERC;Listeria monocytogénes détectée;Listeria monocytogenes (agent responsable de la listériose);Les personnes qui auraient consommé les « produits » mentionnés ci-dessus et qui présenteraient de la fièvre, isolée ou accompagnée de maux de tête, et des courbatures, sont invitées à consulter leur médecin traitant en lui signalant cette consommation.  Des formes graves avec des complications neurologiques et des atteintes maternelles ou fœtales chez la femme enceinte peuvent également parfois survenir. Les femmes enceintes ainsi que les personnes immunodéprimées et les personnes âgées doivent être particulièrement attentives à ces symptômes. La listériose est une maladie qui peut être grave et dont le délai d'incubation peut aller jusqu'à huit semaines.;;Ne plus consommer Rapporter le produit au point de vente Détruire le produit;321872887;Remboursement;samedi 12 février 2022;;http://rappel.conso.gouv.fr/image/2daf9c43-6929-464b-bf38-c5e57587eac6.jpg;;http://rappel.conso.gouv.fr/affichettePDF/4694/Interne;2021-12
2021-12-0004;1;Volontaire;Vêtements, Mode, EPI;Equipements de Protection Individuels;FIRST RACING;I-FLEX LITE (2021);3700979422748 REFERENCE ARTICLE : 4040010101  3700979422755 REFERENCE ARTICLE : 4040010102  3700979431443 REFERENCE ARTICLE : 4040010103  3700979431702 REFERENCE ARTICLE : 4040010104  3700979431719 REFERENCE ARTICLE : 4040010105  3700979432990 REFERENCE ARTICLE : 4040010106;A L'UNITE;Du 01/09/2021 au 23/11/2021;;;;France entière;MOTOCISTES ET ACCESSOIRISTES MOTOS;NON CONFORME ET DANGEREUX;Blessures externes;;PROTECTION INSUFFISANTE DES PROTECTIONS DES COUDES ET EPAULES POUVANT ENTRAINER UN RISQUE DE BLESSURE EN CAS DE CHUTE;Ne plus utiliser le produit Contacter le point de vente;299620909;Remboursement;vendredi 31 décembre 2021;;http://rappel.conso.gouv.fr/image/4872cc19-e8a6-43a2-a263-6c1d12afb562.jpg;;http://rappel.conso.gouv.fr/affichettePDF/4695/Interne;2021-12
2021-12-0006;1;Volontaire;Alimentation;Soupes, sauces et condiments;MI LAU;"SOUPE NOUILLE 78G MI LAU THAI POULET PAR 30
SOUPE NOUILLE 81G MI LAU THAI SEAFOOD PAR 30
SOUPE NOUILLE 83G MI LAU THAI CREVETTE PAR 30";8934563158163  Date de durabilité minimale 22/08/2022 8934563158163  Date de durabilité minimale 15/09/2022 8934563158163  Date de durabilité minimale 17/09/2022 8934563136161  Date de durabilité minimale 22/08/2022 8934563136161  Date de durabilité minimale 12/11/2022 8934563122164  Date de durabilité minimale 22/11/2021 8934563122164  Date de durabilité minimale 07/03/2022 8934563122164  Date de durabilité minimale 21/05/2022;sachets;Du 11/12/2020 au 19/11/2022;Produit à conserver à température ambiante;;Mi Lau Thai;France entière;voir liste;Concentration de 2-chloroéthanol supérieure à la réglementation dans l'un des ingrédients;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente;633597591;Remboursement;lundi 31 janvier 2022;;http://rappel.conso.gouv.fr/image/dd6cc346-2d23-49f9-a5ea-9341371711b2.jpg http://rappel.conso.gouv.fr/image/f5e3505b-3615-4209-9f05-15c028028843.jpg http://rappel.conso.gouv.fr/image/e75c8b2a-9d14-4283-b9d4-504cab096a62.jpg;http://rappel.conso.gouv.fr/document/52544f5d-3216-482b-a372-1bfc58168834/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/4697/Interne;2021-12
2021-12-0008;1;Volontaire;Alimentation;Soupes, sauces et condiments;DE NHAT;"SOUPE NOUILLE BOULETTE DE BOEUF 80G DE NHAT PAR 30
SOUPE NOUILLE CANH CHUA 82G DE NHAT PAR 30
SOUPE NOUILLE PORC 85G DE NHAT PAR 30";8934563787165  Date de durabilité minimale 21/05/2022 8934563787165  Date de durabilité minimale 16/09/2022 8934563789169  Date de durabilité minimale 24/08/2022 8934563789169  Date de durabilité minimale 09/09/2022 8934563788162  Date de durabilité minimale 24/08/2022 8934563788162  Date de durabilité minimale 16/09/2022;sachets;Du 11/12/2020 au 19/11/2022;Produit à conserver à température ambiante;;De Nhat;France entière;voir liste;Concentration de 2-chloroéthanol supérieure à la réglementation dans l'un des ingrédients;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente;633597591;Remboursement;lundi 31 janvier 2022;;http://rappel.conso.gouv.fr/image/119044b6-da0a-402b-ab04-0cde59204b37.jpg http://rappel.conso.gouv.fr/image/fb450114-fe8d-472a-9461-71c4d71242b0.jpg http://rappel.conso.gouv.fr/image/bd5d9d57-97f2-4cd3-8e5c-4f5167009955.jpg;http://rappel.conso.gouv.fr/document/aa0451d8-800e-4644-bd06-28e305a1455d/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/4699/Interne;2021-12
2021-12-0009;1;Volontaire;Alimentation;Soupes, sauces et condiments;HAOHAO;"SOUPE NOUILLE CREVETTE 74G HAOHAO PAR 30
SOUPE NOUILLE POULET 74G HAOHAO PAR 30
SOUPE NOUILLE SATE ET OIGNON 75G HAOHAO PAR 30
NOUILLES SAUTEES CREVETTE AIGRE DOUCE 76GR HAOHAO PAR 30
NOUILLES SAUTEES CREVETTE OIGNON 76GR HAOHAO PAR 30";8934563138165  Date de durabilité minimale 22/11/2021 8934563138165  Date de durabilité minimale 07/03/2022 8934563138165  Date de durabilité minimale 15/09/2022 8934563138165  Date de durabilité minimale 18/09/2022 8934563138165  Date de durabilité minimale 12/11/2022 8934563107161  Date de durabilité minimale 25/02/2022 8934563107161  Date de durabilité minimale 07/03/2022 8934563107161  Date de durabilité minimale 21/05/2022 8934563108168  Date de durabilité minimale 07/03/2022 8934563108168  Date de durabilité minimale 21/05/2022 8934563108168  Date de durabilité minimale 24/08/2022 8934563711153  Date de durabilité minimale 15/09/2022 8934563805159  Date de durabilité minimale 24/08/2022;sachets;Du 11/12/2020 au 19/11/2022;Produit à conserver à température ambiante;;haohao;France entière;voir liste;Concentration de 2-chloroéthanol supérieure à la réglementation dans l'un des ingrédients;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente;633597591;Remboursement;lundi 31 janvier 2022;;http://rappel.conso.gouv.fr/image/a5901f55-8ede-45a8-87af-6957677cfd8a.jpg http://rappel.conso.gouv.fr/image/ac255184-2b65-4161-98fc-2ba92516df9d.jpg http://rappel.conso.gouv.fr/image/7d7c5c32-4e04-40a5-ad10-64c1178f4416.jpg http://rappel.conso.gouv.fr/image/39a88a8e-2eb4-4713-b24e-cf33798f082e.jpg http://rappel.conso.gouv.fr/image/e22d286d-0d87-4f55-a0c3-a6b1d69680bb.jpg;http://rappel.conso.gouv.fr/document/8cbf8d7f-7bfe-48ea-8561-daa8508ba48c/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/4700/Interne;2021-12
2021-12-0010;1;Volontaire;Alimentation;Autres;Brioche Pasquier;Couronne Pépites de Chocolat;3256549999726 31/12/2021 04 (19:33 à 20:00) C330 Date de durabilité minimale 31/12/2021;;Depuis le 29/11/2021;Produit à conserver à température ambiante;;;;Super U Loudun et Super U Treillières;Erreur de conditionnement, Présence dans le produit d'un allergène NOISETTE non étiqueté sur l’emballage;Substances allergisantes non déclarées;;;Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur;809400607;Remboursement;samedi 15 janvier 2022;Merci aux personnes allergiques à la Noisette de ne pas consommer le produit;http://rappel.conso.gouv.fr/image/346a5fca-d1e2-4135-b204-6aae5acc6ccc.jpg;;http://rappel.conso.gouv.fr/affichettePDF/4701/Interne;2021-12
2021-12-0011;1;Volontaire;Alimentation;Soupes, sauces et condiments;Oh Ricey;"SOUPE PHO POULET SACHET 70G OH RICEY PAR 24
SOUPE PHO BOEUF SACHET 70G OH RICEY PAR 24";8934563211141  Date de durabilité minimale 17/05/2022 8934563211141  Date de durabilité minimale 15/09/2022 8934563210144  Date de durabilité minimale 23/11/2021 8934563210144  Date de durabilité minimale 04/03/2022 8934563210144  Date de durabilité minimale 15/05/2022 8934563210144  Date de durabilité minimale 22/08/2022 8934563210144  Date de durabilité minimale 15/09/2022;sachets;Du 11/12/2020 au 19/11/2022;Produit à conserver à température ambiante;;Oh Ricey;France entière;voir liste;Concentration de 2-chloroéthanol supérieure à la réglementation dans l'un des ingrédients;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente;633597591;Remboursement;lundi 31 janvier 2022;;http://rappel.conso.gouv.fr/image/f8943ae4-20a8-4351-a556-677ac586614b.jpg http://rappel.conso.gouv.fr/image/ef92fb37-54fc-4905-b12d-31ecfe661d29.jpg;http://rappel.conso.gouv.fr/document/8dd2b543-8074-433f-8e2c-40927bdf3bc3/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/4702/Interne;2021-12
2021-12-0012;1;Volontaire;Alimentation;Soupes, sauces et condiments;Oh Ricey;"VERMICELLE INSTANT. DE RIZ TRAVERS DE PORC 70G OH RICEY PAR 24
VERMICELLE INSTANT.DE RIZ BOULETTES BOEUF 70G OH RICEY PAR 24
VERMICELLE INSTANT. DE RIZ PHNOM PENH 71G OH RICEY PAR 24";8934563454142  Date de durabilité minimale 25/11/2021 8934563454142  Date de durabilité minimale 24/08/2022 8934563454142  Date de durabilité minimale 18/09/2022 8934563451141  Date de durabilité minimale 03/03/2022 8934563451141  Date de durabilité minimale 18/05/2022 8934563451141  Date de durabilité minimale 12/09/2022 8934563453145  Date de durabilité minimale 18/09/2022 8934563453145  Date de durabilité minimale 24/08/2022 8934563453145  Date de durabilité minimale 18/05/2022;sachets;Du 11/12/2020 au 19/11/2022;Produit à conserver à température ambiante;;Oh Ricey;France entière;voir liste;Concentration de  2-chloroéthanol supérieure à la réglementation dans l'un des ingrédients;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente;633597591;Remboursement;lundi 31 janvier 2022;;http://rappel.conso.gouv.fr/image/da8b0964-1996-4f01-ba43-ed0640549257.jpg http://rappel.conso.gouv.fr/image/90cdc887-19de-4b14-9c1e-bd77858cb624.jpg http://rappel.conso.gouv.fr/image/4dd5c479-b197-4ecd-945b-c333809356de.jpg;http://rappel.conso.gouv.fr/document/29e48dc9-8346-4641-b7b1-483b20ac205b/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/4703/Interne;2021-12
2021-12-0013;1;Volontaire;Alimentation;Soupes, sauces et condiments;ACECOOK;"SOUPE PHO CUP POULET 56G ACECOOK PAR 12
SOUPE PHO CUP BOEUF 56G ACECOOK PAR 12";8934563283117  Date de durabilité minimale 12/04/2022 8934563283117  Date de durabilité minimale 13/07/2022 8934563283117  Date de durabilité minimale 14/07/2022 8934563282110  Date de durabilité minimale 13/07/2022 8934563282110  Date de durabilité minimale 26/12/2022 8934563282110  Date de durabilité minimale 12/04/2022;cup;Du 11/12/2020 au 19/11/2022;Produit à conserver à température ambiante;;ACECOOK;France entière;voir liste;Concentration de 2-chloroéthanol supérieure à la réglementation dans l'un des ingrédients;Dépassement des limites autorisées de pesticides;;;Ne plus consommer Rapporter le produit au point de vente;633597591;Remboursement;lundi 31 janvier 2022;;http://rappel.conso.gouv.fr/image/45067ebe-1de2-4a0b-b54a-ea5a66db5e6d.jpg http://rappel.conso.gouv.fr/image/08c50a13-b069-4745-9ec2-f367675d7e54.jpg;http://rappel.conso.gouv.fr/document/64edf502-ad5b-4750-8eac-0fc2fb747175/Interne/ListeDesProduits;http://rappel.conso.gouv.fr/affichettePDF/4704/Interne;2021-12
2021-12-0014;1;Imposé par l’administration;Appareils électriques, Outils;Appareils électriques, électroménager;Bestope official;Ruban Led;voir liste des produits en pièce jointe;Emballage carton;Du 19/06/2021 au 29/09/2021;;;;France entière;EBAY;Produit dangereux;Choc électrique;;;Ne plus utiliser le produit Détruire le produit;755609546;Remboursement;lundi 28 février 2022;;http://rappel.conso.gouv.fr/image/0b44bd70-bd55-48cc-9cbc-fa60a6961e71.jpg;;http://rappel.conso.gouv.fr/affichettePDF/4705/Interne;2021-12
